Name,University/Company,Country
Abdallah Ali Z. A. Ibrahim,University of Luxembourg,Luxembourg
Akila Siriweera,University of Aizu,Japan
Aly Megahed,IBM Research,USA
andrea delgado,universidad de la republica,uruguay
Babak Ravandi,Purdue University,USA
Bhathiya Supun,University of Moratuwa,Sri Lanka
Bin Cao,Hebei University of Technology,China
John Smith,Macquarie University,Australia
Bongjin Sohn,KAIST,South Korea
Budan Wu,Beijing University of Posts and Communications,China
Cheng Wang,Pennsylvania State University,China
Chengyu Dong,Alibaba Cloud Computing,China
Dixin Tang,The University of Chicago,USA
Dong Yuan,The University of Sydney,Australia
Fan Liang,University of New Brunswick,Canada
Fang Liu,National University of Defense Technology,China
Fathoni Arief Musyaffa,University of Bonn,Germany
Ferdous Ahmed Barbhuiya,Indian Institute of Information Technology Guwahati,India
Gregory Van Seghbroeck,Ghent University,Belgium
Guangming Cui,Anhui University,China
Guoquan Wu,"Institute of Software,Chinese Academy of Sciences",China
Hamad Witti,University of Lyon 3,France
Hee Won Lee,AT&T Labs Research,USA
Huankai Chen,University of Kent,UK
Huiyu Sun,New York University,United States
Hyeeun Cho,KAIST,South Korea
In Kee Kim,University of Virginia,USA
Jery(ShaoChun) Li,IBM Research - China,China
Jia Chen,Shandong University,China
Jiangbin Lin,Alibaba Cloud Computing,China
Jiaxing Wang,Zhejiang University of Technolofy,China
Jinhui Yao,Xerox ,USA
Jiuyun Xu,China University of Petroleum Qingdao,China
Jiwei Huang,Beijing University of Posts and Telecommunications,China
Jun Zou,Macquarie University,Australia
Kaixu Liu,University of Pavia,Italy
Kerolos Lotfy,University of Nebraska at Omaha,USA
Khadij Bousselmi,Faculty of sciences of Tunisia; RIADI Laboratory,Tunisia
Krishna Khamankar,Vidyalankar Institute of Technology,India
Li Duan,BUPT,China
Li Kuang,Central South University,China
Maycon Leone Maciel Peixoto,Federal University of Bahia,Brazil
Mehdi Boukhechba,University Of Quebec At Chicoutimi,Canada
Min Yang,National University of Defense Technology,China
Mingzhu Deng,National University of Defense Technology,China
Mohammad Maifi Hasan Khan,University of Connecticut,USA
Nhien-An Le-Khac,University College Dublin,Ireland
Nidhiben Solanki,University of Texas at Dallas,USA
Nong Xiao,National University of Defense Technology,China
Omar Abdul Wahab,Concordia University,Canada
Paul S. Pang ,Unitec Institute of Technology,New Zealand 
Peter Hillmann,Universität der Bundeswehr München,Germany
Pradeeban Kathiravelu,Universidade de Lisboa,Portugal
Qiang He,"Swinburne University of Technology, Australia",Australia
Ragib Hasan,University of Alabama at Birmingham,USA
Rasib Khan,Northern Kentucky University,USA
Raymond Wong,University of New South Wales,Australia
Ridwan Shariffdeen,University of Moratuwa,Sri Lanka
Ruisheng Shi,Beijing University of Posts and Telecommunications,China
Sachin Shetty,Tennessee State University,USA
Saeideh Alinezhad,Sharif University of Technology,Iran
Sainath Gadhamsetty Kasi,Samsung Research India Bangalore,India
Samantha Kumara,Sabaragamuwa University,Sri Lanka
Samneet Singh,Concordia University,Canada
Sanjay Patel,"LDRP-ITR, CHARUSAT",India
Saptarshi Debroy,University of Missouri,USA
Shanqing Guo,Shandong University,China
Shenglin Zhao,The Chinese University of Hong Kong,China
Shijun Liu,Shandong University,China
Shunmei Meng,Nanjing University,China
Shyam S. Wagle,University of Luxembourg,Luxembourg
Songping Yu,National University of Defense Technology,China
Suresh Kumar Gudla,Samsung Research India Bangalore,India
Tianyi Ma,Universita di Pavia,Italy
Tianyu Jia,Tsinghua University,China
Upa Gupta,University of Texas at Arlington,United States
Wei Chen,National University of Defense Technology,China
Wei Tan,IBM Research,USA
Wenqi Cao,Georgia Tech,USA
Wondeuk Yoon,KAIST,South Korea
Xiaoke Wang,The University of Hong Kong,China
Xiaoliang Fan,Lanzhou University,China
Xiaolong Xu,Nanjing University,China
Xiaoyong Yuan,University of Florida,USA
Xin Zhou,Kyoto University,Japan
Xuan Zhao,Beijing University of Posts and Telecommunications,China
Xudong Zhao,Shandong University,China
Yabin Dang,IBM Research China,China
Yanchun Sun,Peking University,China
Yang Luo,Peking University,China
Yi Ge,IBM,China
Yi Liu,Peking University,China
Yibin Liao,Univerity of Georgia,USA
Yiming Zhang,National University of Defense Technology,China
Yu Zhao,Queen's University,Canada
Yue Hu,Zhejiang University,China
